visit_id,total_time_diff,client_id,variation
100012776_37918976071_457913,52.0,3561384,Test
100019538_17884295066_43909,242.0,7338123,Test
100022086_87870757897_149620,180.0,2478628,Test
100030127_47967100085_936361,0.0,105007,Control
100037962_47432393712_705583,132.0,5623007,Control
100057941_88477660212_944512,254.0,4823947,Control
10006594_66157970412_679648,354.0,3479519,Control
100071743_53464757454_616703,0.0,3432704,Control
10007589_47780784567_391490,721.0,5477656,Control
100096068_8301717872_987164,13.0,8306812,Control
100105975_18174738494_196339,13.0,9852814,Control
100173292_91322748906_143563,95.0,8631696,Test
100195539_90558871716_822894,363.0,8050938,Control
100217156_67053490690_383412,1017.0,9341024,Test
100221419_95702886123_228743,0.0,6002181,Test
10024125_38177552152_999695,21.0,3852267,Control
100253265_79786188559_15799,134.0,9250886,Test
100254180_47139859079_984581,341.0,984526,Control
100258507_71262593004_214494,1013.0,1562128,Test
100293270_70949014562_696814,209.0,8976740,Test
10029965_1592382589_593999,67.0,7760839,Test
100309269_21684743336_936307,240.0,7224020,Control
100321067_78502191718_46799,134.0,2540907,Test
100393582_40120493420_784218,82.0,2930525,Test
100398738_80691628792_341470,0.0,2289897,Control
100412222_23957663994_946900,466.0,543460,Test
10043239_12589390657_342180,0.0,5269746,Control
10045388_98429038488_557266,214.0,9268742,Control
100471971_3065983298_584030,155.0,3673713,Control
100475449_39139591577_836652,0.0,3393250,Test
100481857_71511233596_788753,776.0,6235268,Control
100524954_75571477869_827571,192.0,2301536,Test
100535920_68686957750_105554,34.0,1066226,Control
100559681_42553631610_873319,203.0,663873,Test
10056419_61656665964_803695,457.0,1545935,Test
100583476_33244068453_144866,168.0,8187622,Control
100608591_65788886975_921579,104.0,8860154,Control
100618014_41463020246_787063,531.0,4389198,Test
100626049_75683476209_342098,718.0,8241291,Test
100639462_26969211619_298031,65.0,4074233,Test
100647528_93869859601_746654,0.0,1244412,Control
10065836_96534697180_389104,704.0,6829143,Test
100665997_91063490926_34691,88.0,237182,Control
100696989_79957693336_140112,4.0,9573973,Control
100725513_11346861413_977724,8.0,8780422,Test
100733473_61604582110_215085,335.0,9956593,Control
100738555_11362326861_913293,309.0,5392133,Test
100742196_25888718318_18393,144.0,5730234,Control
100751264_35071231525_844320,372.0,2211630,Test
100758381_89232150997_752407,346.0,8975499,Test
100762504_13289430422_745035,0.0,9886162,Test
100762805_65408139715_281504,87.0,5088758,Test
100768839_4432812320_405870,447.0,3467432,Control
100786061_71646122803_371815,39.0,2460796,Test
100810638_79925673386_145828,12.0,8342684,Control
100823576_70799027657_592457,55.0,2684049,Test
100844233_60058998075_722846,855.0,2060326,Test
100847537_74227021314_737120,22.0,9957303,Control
100882938_11703227433_775210,0.0,5122676,Test
100888777_10698693955_921935,0.0,8133621,Control
100911179_58982643631_833777,295.0,7922438,Control
100917321_50724715049_405133,0.0,666049,Control
100940549_99510656_854293,158.0,3272226,Test
100982387_94833499276_254813,180.0,4337769,Control
100990512_10313858825_28429,1183.0,1262277,Control
100995466_7789612733_596938,0.0,942896,Test
101011654_3078115058_237331,107.0,7761531,Test
101018131_98163417200_901367,173.0,3624120,Control
101030486_64770311115_334089,250.0,4318876,Test
101093819_66558027327_682204,127.0,158047,Test
101094131_85383261552_788150,46.0,4496382,Control
101095789_10442518934_382326,73.0,8076869,Test
10110963_12018428476_773812,0.0,4965716,Control
10111418_59591388284_939024,546.0,6762377,Test
101114217_62558506460_651777,66.0,9132456,Test
101120116_70489660261_84827,433.0,4871055,Control
101127163_76213781950_64100,262.0,5102064,Control
101131769_71477003769_557617,275.0,6664663,Test
101140098_34485335341_198445,81.0,2619274,Control
101140215_44015987399_153386,0.0,174238,Test
101143883_71782939078_772553,162.0,3351016,Control
101228955_33584697901_374290,348.0,3055315,Control
101299207_34352941387_283858,136.0,5189898,Control
10132415_28171840649_223256,271.0,2086680,Control
101339145_59030942252_195139,169.0,9506863,Test
101351075_24045289214_506540,122.0,7795550,Test
101353522_64535639660_69005,392.0,1187711,Test
101356945_38257202995_214098,31.0,1113720,Control
101389230_14746485715_507991,0.0,6446363,Test
101392314_91331340315_841624,2251.0,859069,Test
101420660_70864320063_268486,172.0,4167905,Control
101430298_69072505500_555518,281.0,8902430,Test
101443588_38539502180_993540,0.0,5060980,Test
10146625_55092448080_942181,141.0,7866354,Control
101474438_42996626661_564566,466.0,9166062,Test
101492053_41703829728_425044,234.0,7380609,Test
101494772_26515669036_129353,231.0,8670426,Test
101505834_32427348236_567390,353.0,8222286,Test
10151340_71083463460_534483,577.0,1722460,Test
101579558_69735183437_760737,310.0,7019445,Test
101587529_99858300359_232850,12.0,7619272,Control
10159182_15246511835_346098,0.0,1807324,Test
10159198_84729287535_194650,232.0,1789332,Test
10160247_7644306633_536261,240.0,7135656,Test
101632251_3972004281_699230,75.0,3927920,Control
101632913_38542641459_604433,337.0,9791984,Control
101648946_2986090802_45728,807.0,1497502,Test
101657019_35350936910_130328,214.0,1781217,Control
101680890_99989873555_20306,2357.0,1181373,Test
101685445_57309646367_72205,1089.0,5551641,Test
101694351_48478447145_497774,0.0,5089978,Test
101699555_81180756343_194382,115.0,1631043,Test
101705911_92910589456_700339,59.0,4575080,Test
101715826_97622208061_360008,201.0,4906459,Control
101722456_58438104811_928683,188.0,9318531,Test
101723155_55190658662_237894,216.0,1159819,Control
101730358_52940740127_700366,75.0,9921452,Test
101750001_99499374687_400462,946.0,8923342,Test
101768700_91142432630_586450,28.0,7611942,Test
10177503_3130035561_623787,177.0,2917969,Test
101780244_22851723186_748129,3.0,4836017,Control
101794167_4777787282_217687,16.0,7529949,Test
101795269_11014215878_581088,360.0,2212960,Test
101802638_52752999485_99956,184.0,6251313,Test
101815309_16518757746_588210,171.0,6017862,Control
101822764_25803298242_795564,57.0,9655476,Control
101834489_14041973684_933577,417.0,24572,Test
101843236_32514135773_422380,325.0,3971370,Test
101846948_96925910026_299041,692.0,8739285,Test
101881214_40147450360_975629,147.0,7339781,Test
101884417_53293783110_925967,47.0,1777437,Control
101885734_33165249816_513951,16.0,4623321,Test
101886605_42106504820_186284,132.0,8875788,Control
101888000_165543841_994097,780.0,1232986,Test
101894537_62812466351_460394,183.0,7707667,Test
101901793_38285706284_788189,142.0,8984930,Test
101943895_86775091670_183092,886.0,159268,Control
10194677_47094805391_515472,272.0,2711899,Test
10195285_83113954302_914786,393.0,8252266,Control
101964240_76921976749_632667,0.0,2200195,Test
101992635_61594742250_953624,229.0,6642237,Control
102011341_65573429752_679025,84.0,88378,Control
102023307_11552556299_423138,0.0,4863666,Test
102028949_77333531405_172916,107.0,3606469,Test
102039130_96083762708_562998,719.0,1688588,Test
102040676_43919492336_211555,772.0,1081771,Test
102080539_2157046535_369903,0.0,7812894,Control
10208190_60248923635_552228,18.0,3934629,Control
10208508_48498393982_276767,2459.0,20185,Test
102087008_74127215915_642470,734.0,9009821,Control
10210243_96284954273_763426,658.0,608002,Control
102107667_79348620618_407005,57.0,6363082,Control
102117430_8358683171_251810,377.0,5084415,Control
102118013_73394275138_810845,0.0,9965526,Control
102127158_52101637420_767224,0.0,1364913,Test
102135578_44389748355_529451,374.0,6980355,Test
102142817_7580637917_670602,0.0,1373405,Test
102156481_9712246009_751130,5.0,1194972,Control
102172447_66154207246_163667,5.0,568717,Control
